undeniable|【a.】 definitely true or certain 不可否认的；无可争辩的|The link between poverty and bad health is undeniable.
confuse|【vt.】 make sb. feel that they cannot think clearly or do not understand 使困惑；把（某人）弄糊涂|I understand the text but the diagrams are confusing me.
confusing|【a.】 unclear and difficult to understand 令人困惑的；模糊不清的；难懂的|The road signs were very confusing and we ended up getting lost.
seemingly|【ad.】 in a way that appears to have a particular quality when this may or may not be true 看上去；表面上；外观上|The new minister was faced with a seemingly impossible task.
conflicting|"【a.】 conflicting ideas, beliefs, opinions, etc. cannot exist together or both be true （想法、信仰、观点等）冲突的，矛盾的"|It can be difficult to balance the conflicting demands for our time.
lament|【vt.】 1) express annoyance or disappointment about sth. that you think is unsatisfactory or unfair 抱怨|He lamented that people had expected too much of him.
lament|【vt.】 2) express feelings of great sadness about sth. （为···）悲痛，痛惜|The nation lamented the death of its great leader.
ubiquitous|【a.】 (fml.) seeming to be everywhere — sometimes used humorously 似乎无处不在的（有时为幽默手法）|He is as recognizable and as ubiquitous as the celebrities he photographs.
advanced|【a.】 very modern 先进的|Modern armies consist of fewer soldiers and more advanced weapon systems.
capture|"【vt.】 1) (~ sb's imagination / attention, etc.) make sb. feel very interested in sth. 引起某人想象；吸引某人注意等"|His stories of foreign adventure captured my imagination.
capture|【vt.】 2) catch a person and keep them as a prisoner 俘虏；逮捕|Government troops have succeeded in capturing the rebel leader.
category|【n.】 [C] a group of people or things that are all of the same type 类别；种类；范畴|Seats are available in ten price categories.
categorize|【vt.】  put people or things into groups according to the type of person or thing they are 对···进行分类；把···归类|"The population is categorized according to age, sex, and social group."
viewpoint|【n.】 [C] a particular way of thinking about a problem or subject 观点；看法；见解|"From a practical viewpoint, I'd advise you not to go."
equip|【vt.】 1) give sb. the information and skills that they need to do sth. 使有能力；使能够胜任|We equip students with the skills they will need once they leave college.
equip|【vt.】 2) provide a person or place with the things that are needed for a particular kind of activity or work 装备；配备|They spent a lot of money equipping the school with new computers.
observation|【n.】 1) [C] sth. that you notice when watching sb. / sth. 观察结果|Some interesting observations emerged from this research.
observation|"【n.】 2) [C, U] the process of watching sb. / sth. carefully for a period of time 观察；注意；监视"|Most information was collected by direct observation of the animals' behavior.
dynamic|" 【n.】(~s) [pl.] the way in which things or people behave, react, and affect each other 动态；（事物或人）相互作用的方式"|He did research on group dynamics and leadership styles.
dynamic| 【a.】1) continuously moving or changing 不断移动的；不断变化的；动态的|These countries are characterized by highly dynamic economies.
dynamic|" 【a.】2) full of energy and new ideas, and determined to succeed 精力充沛的；有创新思想的；志在成功的"|We're looking for someone positive and dynamic.
revealing|【a.】 a remark or event that is revealing shows you sth. interesting or surprising about a situation or sb.'s character 揭露真相的；揭示内情的|The document provided a revealing insight into the way government works.
occasional|【a.】 (only before noun) happening sometimes but not often or regularly 偶尔的；不经常的|"He spent five years in Paris, with occasional visits to Italy."
intertwine|"【v.】 1) if two things intertwine, or if they are intertwined, they are twisted together （使）缠绕；（使）交织在一起"|He told us a story in which the present and the past intertwined.
intertwine|"【v.】 2) if two situations, ideas, etc. are intertwined, they are closely related to each other （使）（局势、观点等）紧密相关"|Her fate intertwined with his.
continuously|【ad.】 without a pause or interruption 持续地；不间断地|He has lived and worked in France almost continuously since 1990.
lens|【n.】 [C]（照相机的）镜头|
re-frame|"【vt.】 frame or express (words, or a concept or plan) differently 全新地拟定（或表达）（话语、概念或计划）"|She is trying to re-frame the debate about the care of children in need.
cellphone|【n.】 [C]   移动电话；手机|
rebellious|【a.】 deliberately not obeying people in authority or rules of behavior 叛逆的；反叛的；反抗的|"Her teachers consider her a rebellious, trouble-making girl."
old-fashioned|【a.】 not considered to be modern or fashionable anymore 旧式的；老式的；过时的|His idea is regarded as rather old-fashioned.
flip phone|【n.】 [C] 翻盖手机|
insane|"【a.】 (infml.) completely stupid or crazy, often in a way that is dangerous 愚蠢的；疯狂的"|For some insane reason he decided to do the whole journey in one day.
monthly|"【a.】 (only before noun) used to talk about the total amount of sth. that is received, paid, measured, or calculated in a month 按月结算的；每月的"|"Summers are hot here, with monthly average temperature above 30 °C."
possibility|"【n.】 [C, U] if there is a possibility that sth. is true or that sth. will happen, it might be true or it might happen 可能；可能性"|There is always a possibility that he might go back to Seattle.
upgrade|"【n.】 [C, U] the act of making a computer, machine, or piece of software better and able to do more things （计算器、机器、软件的）升级"|The upgrade to the latest version costs $395.
roaming|"【n.】 [U] the process that a mobile phone uses when it is in a different country or area from usual, and has to connect to a different network （手机）漫游"|
transmit|"【v.】 send out electronic signals, messages, etc. using radio, television, or other similar equipment 传输，发送，传送（电子信号、信息等）"|The system transmits information over digital phone lines.
emission|"【n.】 [C, usu. pl.] a gas or other substance that is sent into the air 排放物；散发物"|The government has decided to clean up industrial emissions.
landfill|【n.】 1) [C] a place where waste is buried under the ground 废弃物填埋场|
landfill|"【n.】 2) [U] the practice of burying waste under the ground, or the waste buried in this way 废弃物的填埋；填埋的废弃物"|
toxic|"【a.】 containing poison, or caused by poisonous substances 有毒的；由有毒物质引起的"|Toxic chemicals have been spilled into the river for the past three months.
decisive|"【a.】 an action, event, etc. that is decisive has a big effect on the way that sth. develops 决定性的；关键性的"|It is the chief executive's opinion that is ultimately decisive.
anytime|【ad.】 at a time that is not fixed 任何时候|They should arrive anytime between noon and 3 p.m.
liberate|【vt.】 free sb. from feelings or conditions that make their life unhappy or difficult 使自由；使摆脱束缚|Writing poetry liberated her from the routine of everyday life.
overwhelming|【a.】 having such a great effect on you that you feel confused and do not know how to react 难以抗拒的；令人不知所措的|She felt an overwhelming desire to tell someone about what had happened.
burden|【n.】 [C] sth. difficult or worrying that you are responsible for 重担；负担|His family responsibilities have started to become a burden.
temptation|"【n.】 [C, U] (~ to do sth.) a strong desire to have or do sth. even though you know you should not 引诱；诱惑"|Resist the temptation to buy the item until you're certain you need it.
presence|【n.】 [U] when sb. / sth. is present in a particular place 出席；到场；存在|Your presence is requested at the club meeting on Friday.
witness|"【n.】 [C] sb. who sees a crime, accident or other event and can describe what happened （罪案、事故、事件的）目击者"|"According to witnesses, the thief escaped through the bedroom window."
intrude|"【vi.】 interrupt sb. or become involved in their private affairs, in an annoying and unwanted way 打扰；干涉"|Would I be intruding if I came with you?
intrusive|【a.】 affecting sb's private life or interrupting them in an unwanted and annoying way 干涉的；打扰的|Some residents of the island found the presence of the film crew too intrusive.
patience|【n.】 [U] the ability to continue waiting or doing sth. for a long time without becoming angry or anxious （持续等待或长时间做某事的）耐心|Teaching children with special needs requires patience and understanding.
empathy|【n.】 [U] the ability to understand other people's feelings and problems 同情；同感；共鸣|The nurse should try to develop empathy between herself and the patient.
affection|"【n.】 [U, sing.] a feeling of liking or love and caring 喜爱；钟爱；慈爱"|She looked back on those days with affection.
contemplation|【n.】 [U] quiet serious thinking about sth. 沉思；冥想；默想|The monks spend an hour on contemplation each morning.
essential|【a.】 (~ for / to) extremely important and necessary 极其重要的；必不可少的|It is becoming almost essential for students to learn a second language.
fulfil|"【vt.】 if you fulfil a hope, wish, or aim, you achieve the thing that you hoped for, wished for, etc. 实现（希望、愿望、目标等）"|Visiting Disneyland has fulfilled my boyhood dream.
fulfilling|"【a.】 making you feel happy and satisfied because you are doing interesting, useful, or important things 令人满意的"|Each of these courses is academically challenging and personally fulfilling.
compatible|【a.】 able to exist or be used together without causing problems 可共存的；可兼用的|Are measures to protect the environment compatible with economic growth?
gratitude|【n.】 [U] the feeling of being grateful 感激（之情）|I would like to express my gratitude to everyone for their hard work.
Greek|"【a. 】 relating to Greece, its people, or its language 希腊的；希腊人的；希腊语的"|
anticipate|【vt.】 expect that sth. will happen and be ready for it 预期；预料|We need someone who can anticipate and respond to changes in the fashion industry.
meaningful|"【a.】 1) serious, important, or useful 严肃的；重要的；有用的"|They want a chance to do meaningful work.
meaningful|【a.】 2) having a meaning that is easy to understand and makes sense 有意义的；浅显易懂的|These statistics are not meaningful to anyone but a scientist.
absorbed|【a.】 so interested or involved in sth. that you do not notice anything else 极感兴趣的；全神贯注的；专注的|Judith was totally absorbed in her book.
willpower|【n.】 [U] the ability to control your mind and body in order to achieve sth. that you want to do 毅力；意志力|It took all his willpower to remain calm.
owner|【n.】 [C] sb. who owns sth. 所有人；物主；业主|The police have been unable to trace the owner of the vehicle.
guarantee|【vt.】 1) make it certain that sth. will happen 使必然发生；确保|The process of training does not automatically guarantee you a job.
guarantee|【vt.】 2) promise to do sth. or promise that sth. will happen 保证|I guarantee you will love this film.
bind|"【vt.】(bound, bound) tie sb. / sth. so that they cannot move or are held together firmly 捆绑；系"|They bound the package with brightly colored ribbons.
fasten|【v.】 close or join together the two parts of sth; become closed or joined together （使两部分）系牢，扎牢，结牢，扣紧|I was so fat that my skirt wouldn't fasten.
unreal|"【a.】 1) (not before noun) an experience, situation, etc. that is unreal seems so strange that you think you must be imagining it 不真实的；虚幻的"|It seemed unreal to be talking to someone so famous.
unreal|【a.】 2) not related to real things that happen 脱离现实的；不切实际的|Many people have unreal expectations of what marriage will be like.
disconnect|"【v.】 1) if you disconnect or become disconnected from your feelings, family, society, etc., you no longer feel you belong or have a relationship with them （使）脱离（关系）；（使）不联系"|Divorced men can too easily become disconnected from their children.
disconnect|"【v.】 2) remove the supply of power, gas, water, etc. from a machine or piece of equipment 切断（机器或设备）的电力（煤气、水）等供应"|You should pay attention to disconnecting the machine from the mains first.
convince|【vt.】 make sb. feel certain that sth. is true 使确信；使信服|"Her arguments didn't convince everyone, but changes were made."
convinced|【a.】 (not before noun) feeling certain that sth. is true 确信的；信服的|I was convinced that we were doing the right thing.
worlds apart|" completely different in attitudes, opinions, etc. （观点、态度等）有天壤之别"|"On the surface, they look the same. But in reality, they are worlds apart."
hand down| give or leave sth. to people who will live after you 传给（后代）|The ring was handed down to her from her grandmother.
hang on sb.'s every word|pay close attention to everything sb. is saying|"She was watching him, hanging on his every word. "
long to do sth.|" want sth. very much, esp. when it seems unlikely to happen soon 渴望；盼望"|These were the words she had secretly longed to hear.
touch / hit a (raw) nerve|" mention sth. that makes sb. upset, angry, or embarrassed, esp. accidentally （尤指无心地）触到敏感话题，触到痛处"|You touched a raw nerve when you mentioned his first wife.
sum up|" show the most typical qualities of sb. / sth., esp. in a few words 简而言之；概括"|"For me, the novel summed up the major problems of human existence."
break down| separate sth. into smaller parts so that it is easier to do or understand 拆分；把···分成若干部分（以方便做或理解）|The question can be broken down into two parts.
in short| used when you want to give the main point of sth. 总而言之；简单地说|"His novels belong to a great but vanished age. They are, in short, old-fashioned."
engage with| become involved with and try to understand sb. / sth. 与···建立密切关系；尽力理解|Are you so tired that you don't have the energy to engage with your kids?
(be) on call|" if sb. such as a doctor or engineer is on call, they are ready to go and help whenever they are needed as part of their job （医生、工程师等）待命，随叫随到"|"Don't worry, there is a doctor on call 24 hours a day."
bear witness (to sth.)| show that sth. is true or exists 见证（某事）；（为某事）证明|The empty workshops bear witness to the industrial past.
on the contrary / quite the contrary|" used to add to a negative statement, to disagree with a negative statement by sb. else, or to answer no to a question 正相反；恰恰相反"|It wasn't a good thing; on the contrary it was a huge mistake.
