freediving|[U] the sport or activity of diving without the aid of breathing equipment （不使用呼吸装备的) 自由潜水|e.g. They noticed she was very good at holding her breath and suggested she try [[freediving]].
agonizing|"1) very unpleasant to experience, esp. because of involving a difficult choice or a long wait （尤因难以抉择或等待过久而）折磨人的"|"e.g. For two [[agonizing]] minutes the plane dived, shook, and finally landed safely at the airport.；e.g. It was said that a few months ago Mr. Lin died after suffering years of [[agonizing]] pain."
agonizing|2) extremely painful 十分痛苦的|"e.g. For two [[agonizing]] minutes the plane dived, shook, and finally landed safely at the airport.；e.g. It was said that a few months ago Mr. Lin died after suffering years of [[agonizing]] pain."
headlight|[C] (also headlamp) （车辆的）前灯；车头灯（的光束）|
fog|"[C, U] 雾"|
exhale|"(fml.) breathe out the air or smoke, etc. in our lungs 呼出，吐出（肺中的空气、烟等）；呼气"|"e.g. I changed my breathing pattern, inhaling and [[exhaling]] heavily after each set of exercise."
scuba|[C] 水肺；自携式水下呼吸器|
fin|"[C, usu. pl.] （潜水、游泳时用的）手蹼，脚蹼"|
assist|help sb. to do sth. 协助；帮助|e.g. Families [[assisted]] teachers with the achievement of educational goals.
resurface|1) come back up to the surface of the water 重新露出水面|"e.g. When the [[divers]] did not [[resurface]] after an hour, three crew members dived down to look for them.；e.g. She [[resurfaced]] briefly about eight years later, to compete with Noriko again for $5 million."
resurface|2) appear again after being lost or missing （遗失或失踪后）再次出现|"e.g. When the [[divers]] did not [[resurface]] after an hour, three crew members dived down to look for them.；e.g. She [[resurfaced]] briefly about eight years later, to compete with Noriko again for $5 million."
cardiac|(only before noun) relating to the heart 心脏的|e.g. It is generally believed that patients with [[cardiac]] problems should avoid foods that are high in salt.
cardiac arrest|心脏停搏；心搏停止|
underwater|"(only before noun) below the surface of an area of water, or able to be used there 水下的；水下（使）用的"|e.g. Each guide also includes full-color [[underwater]] photographs illustrating the marine life you could expect to see.
keenly|"1) if you look at sb. / sth. keenly or watch them keenly, you look closely at them and notice everything about them （观察）敏锐地"|e.g. I looked at him [[keenly]]; he did not blink or even seem embarrassed by what he had just said.；e.g. Scientists are [[keenly]] interested in learning which substances make fruits and vegetables so healthful.
keenly|2) very strongly 强烈地|e.g. I looked at him [[keenly]]; he did not blink or even seem embarrassed by what he had just said.；e.g. Scientists are [[keenly]] interested in learning which substances make fruits and vegetables so healthful.
envelop|(fml.) cover or wrap sb. / sth. up completely 包住；覆盖|e.g. The mist and rain [[enveloped]] the forest and we could only see the nearest trees.
wilderness|"[C, usu. sing.] a large area of land that has never been developed or farmed 未开发的地区；荒野；荒凉之处"|"e.g. As we could see from the film, this place used to be a vast [[wilderness]] of mountains, lakes, and forests."
frontier|1) the limit of what is known about sth. 未完全开拓的领域；新领域|e.g. The study of the brain is often described by scientists as the next intellectual [[frontier]].；e.g. Many of the cars crossing the [[frontier]] were stopped and searched for illegal goods.
frontier|2) (esp. BrE) the border of a country 国界；边境|e.g. The study of the brain is often described by scientists as the next intellectual [[frontier]].；e.g. Many of the cars crossing the [[frontier]] were stopped and searched for illegal goods.
penalty|"[C] a punishment for breaking a law, rule, or legal agreement （因违反法律、规则或合约而受到的）惩罚，处罚"|e.g. The contract includes heavy [[penalties]] for those people who fail to complete the work on time.
marine|(only before noun) relating to the sea and the creatures that live there 海洋的；海洋生物的|e.g. We are all quite familiar with news items concerning [[marine]] pollution due to oil spills.
fraction|[C] a very small amount of sth. 一点；少量|e.g. Employees' salaries are just a [[fraction]] of the total cost of the project.
exploration|1) the act of traveling through a place in order to find out about it or look for sth. in it 勘探；勘查；探索|e.g. You can use this hut as a base for [[explorations]] into the mountains and forests around.；e.g. This chapter begins with a detailed [[exploration]] of the issue of gender discrimination among all age groups.
exploration|2) an examination of sth. in order to find out about it 探究；研究；探测|e.g. You can use this hut as a base for [[explorations]] into the mountains and forests around.；e.g. This chapter begins with a detailed [[exploration]] of the issue of gender discrimination among all age groups.
mysterious|1) (esp. of people) strange and interesting because you do not know much about them 神秘的；陌生的|e.g. I decided to find out more about my [[mysterious]] new neighbor who lived on the top floor.；e.g. The police are investigating the [[mysterious]] disappearance of a new-born baby at the hospital.
mysterious|2) difficult to understand or explain; strange 神秘的；奇怪的；不易理解的|e.g. I decided to find out more about my [[mysterious]] new neighbor who lived on the top floor.；e.g. The police are investigating the [[mysterious]] disappearance of a new-born baby at the hospital.
handful|1) [sing.] (~ of) a small number of people or things 少数人或物|"e.g. The new book is by a man who's already written a [[handful]] of best-sellers, most of them about space exploration.；e.g. The boy picked up a [[handful]] of stones and started throwing them at us, which made us annoyed."
handful|2) [C] (~ of) the amount that you can hold in your hand 一把（的量）|"e.g. The new book is by a man who's already written a [[handful]] of best-sellers, most of them about space exploration.；e.g. The boy picked up a [[handful]] of stones and started throwing them at us, which made us annoyed."
sailor|[C] 水手；海员|
menace|[C] sb. / sth. that is dangerous 危险的人或事物|e.g. Drivers like that are a [[menace]]. They shouldn't be allowed on the road.
ape|[C] 猿|
on occasion|sometimes but not often 偶尔；偶然；有时|"e.g. We no longer keep up a close friendship, though we still visit each other on [[occasion]]."
on sb.'s (own) terms|according to the conditions that sb. wants 按照···的条件；根据···的主张|e.g. Don't just accept this job because it would make your parents happy — you need to act on your own [[terms]] for once.
galaxy|"[C] any of the large systems of stars, etc. in outer space 星系"|e.g. Observations of distant [[galaxies]] indicate that they are moving away from us and the universe is expanding.
terrestrial|connected with the planet Earth 地球的；地球上的|"e.g. Technology gives us immense power over nature, and our decisions will affect all [[terrestrial]] life."
necessitate|(fml.) make it necessary for you to do sth. 使成为必需；需要|"e.g. Sales have dropped dramatically, [[necessitating]] big cuts in production and employment."
observational|relating to the watching of sb. / sth. in order to learn new things 观察的；观测的|"e.g. We film in an [[observational]] style, following events over a period of months to see how things turn out."
ingredient|"[C] one of the things from which sth. is made, esp. one of the foods that are used together to make a particular dish 成分；（尤指烹饪）原料"|e.g. Meals are prepared by the chef on board using fresh [[ingredients]] which are bought daily.
orbit|v.travel in a curved path around a much larger object such as the Earth or the Sun 沿轨道运行；环绕···运行|"e.g. The Earth is one of several planets that [[orbit]] the Sun, and the Moon [[orbits]] around the Earth.；e.g. These planets have circular (环形的) [[orbits]] similar to the [[orbits]] of planets in our solar system."
orbit|n.[C] the curved path traveled by an object which is moving around another much larger object such as the Earth or the Sun （环绕地球、太阳等运行的）轨道|"e.g. The Earth is one of several planets that [[orbit]] the Sun, and the Moon [[orbits]] around the Earth.；e.g. These planets have circular (环形的) [[orbits]] similar to the [[orbits]] of planets in our solar system."
flare|1) [C]（太阳等恒星的）耀斑|e.g. A sudden [[flare]] of light caused her to raise her right arm protectively across her face.
flare|"2) [C, usu. sing.] a bright but unsteady light or flame that does not last long （短暂的）旺火；（摇曳的）光；（闪耀的）火光"|e.g. A sudden [[flare]] of light caused her to raise her right arm protectively across her face.
strip|vt.remove sth. that is covering the surface of sth. else 剥去，除去（表面的东西）|e.g. I think we should [[strip]] the old paint off and see what the wood is like underneath.；e.g. The islands are separated by a narrow [[strip]] of water.
strip|"n.a long narrow area of land, sea, etc. （陆地、海域等）狭长地带；带状水域"|e.g. I think we should [[strip]] the old paint off and see what the wood is like underneath.；e.g. The islands are separated by a narrow [[strip]] of water.
axis|"[C] (pl. axes) the imaginary line around which a large round object, such as the Earth, turns （旋转）轴；轴线"|e.g. The Earth and many other planets in the solar system rotate on their [[axes]] and revolve around the Sun.
stabilize|" become or make sth. become firm, steady and unlikely to change （使）稳定，稳固"|e.g. He suffered a second heart attack two days ago but his condition has now [[stabilized]].
axial|of or related to an axis 轴的；轴线的|"e.g. The Moon's presence also slows the [[axial]] rotation of the Earth, which is why we could have 24-hour days."
tilt|"[C, U] a position in which one end or side of sth. is higher than the other; an act of tilting sth. to one side 倾斜；倾侧"|"e.g. Since childhood, we have been learning the languages of the eyes, the hands and those subtle [[tilts]] of the head."
shield|vt.protect sb. / sth. from being harmed or damaged 保护；保卫|e.g. He wrapped himself in his heavy coat and sat in the corner where the bamboo leaves [[shielded]] him from the wind.
shield|n.[C] 盾；盾牌|e.g. He wrapped himself in his heavy coat and sat in the corner where the bamboo leaves [[shielded]] him from the wind.
catastrophic|"causing a lot of destruction, suffering, or death 灾难性的；毁灭性的"|e.g. The movie shows heroes risking their lives to save the Earth from a [[catastrophic]] collision with a comet (彗星).
proverbial|used when you describe sth. using part of a well-known expression 俗话说的；常言道|"e.g. There are some observers who make predictions all the time about economic recessions, the collapse of civil society, and the [[proverbial]] ""end of the world."""
exo-planet|[C] a planet that is not in the solar system 系外行星|e.g. Astronomers say that this unique observing technique opens a new phase in the exploration of [[exo-planets]].
astrobiology|[U] the branch of biology that investigates the possibility of life elsewhere in the universe 天体生物学|
preconception|"[C] a belief or opinion that you have already formed before you know the actual facts, and that may be wrong 事先形成的看法（想法）；先入之见；成见"|e.g. Try to go into the meeting without too many [[preconceptions]] about what the other group wants.
hydrothermal|"of or relating to the action of water under conditions of high temperature, esp. in forming rocks and minerals 热液的"|
vent|"[C] an opening that allows air, gas or liquid to pass out of or into a room, building, container, etc. （空气、气体、液体的）出口，进口，漏孔"|e.g. Make sure that jars have tight lids and are kept away from sunlight and heating [[vents]].
absence|1) [U] the fact of sb. / sth. not existing or not being available; a lack of sth. 不存在；缺乏|e.g. The case was dismissed in the [[absence]] of any definite proof.；e.g. The smell of cigarette smoke confirmed what he had suspected: There had been a party in his [[absence]].
absence|"2) [C, U] when you are not in the place where people expect you to be, or the time that you are away 不在；缺席"|e.g. The case was dismissed in the [[absence]] of any definite proof.；e.g. The smell of cigarette smoke confirmed what he had suspected: There had been a party in his [[absence]].
plausible|reasonable and likely to be true or successful 貌似有理的；似乎是真的|e.g. A more [[plausible]] explanation would seem to be that people are fed up with their routine life.
conducive|"(~ to sth.) making it easy, possible or likely for sth. to happen 有助于···的发生"|e.g. Our ultimate goal is to create a culture that is [[conducive]] to continual progress and learning.
requirement|"[C, usu. pl.]1) sth. that you must have in order to do sth. else 必要条件；必备的条件"|"e.g. Success in the examination did not secure by itself a postgraduate position, but it was the minimum [[requirement]].；e.g. The average daily food [[requirement]] is about 2,000 calories for women and 2,500 for men."
requirement|2) sth. that you need or want 所需的（或所要的）东西|"e.g. Success in the examination did not secure by itself a postgraduate position, but it was the minimum [[requirement]].；e.g. The average daily food [[requirement]] is about 2,000 calories for women and 2,500 for men."
membrane|"[C, U] a very thin piece of skin that covers or connects parts of your body （覆盖或连接身体某些部分的）膜；薄膜"|e.g. Exposure to loud noise from fireworks can damage the delicate [[membrane]] in the ear.
aqueous|containing water or similar to water 含水的；似水的|"e.g. In chemistry, an [[aqueous]] solution or cream has water as its base."
radioisotope|[C] 放射性同位素|
decay|"1) the process by which a radioactive substance changes to a different form, producing radiation （放射性物质的）衰变"|e.g. The study did not find any association between secondhand smoke exposure and [[decay]] in permanent teeth.
decay|2) the natural chemical change that causes the slow destruction of sth. 腐烂；朽烂|e.g. The study did not find any association between secondhand smoke exposure and [[decay]] in permanent teeth.
geothermal|relating to or coming from the heat inside the Earth 地热的；地温的|e.g. The ice sheet acts like a huge blanket that locks in the [[geothermal]] heat that comes naturally from the Earth.
rogue|"(only before noun) (of an animal) living apart from the main group, and possibly dangerous 离群的"|e.g. It's reported that [[rogue]] elephants have killed at least 31 people in that area this year.
habitable|suitable for people to live in 适合居住的|e.g. We are constantly looking for new [[habitable]] areas.
inquire|(esp. AmE) (also enquire esp. BrE) ask sb. for some information 询问；打听|e.g. I called the school to [[inquire]] about the application process.
inquiry|(esp. AmE) (also enquiry esp. BrE)1) [U] the act of asking questions or collecting information about sb. / sth. 查询；探究；探索|"e.g. On further [[inquiry]], it emerged that Malcolm had not been involved in the incident.；e.g. An [[inquiry]] will be held to discover why the local school's educational record is so bad."
inquiry|2) [C] an official process to find out the cause of sth. or to find out information about sth. 调查；查究；查问|"e.g. On further [[inquiry]], it emerged that Malcolm had not been involved in the incident.；e.g. An [[inquiry]] will be held to discover why the local school's educational record is so bad."
planetary|(only before noun) relating to a planet or planets 行星的|e.g. This means a huge step forward in understanding how [[planetary]] systems form and evolve.
spectroscopy|[U] 光谱术；光谱学|
probe|ask questions in order to find out secret or hidden information about sb. / sth. 盘问；追问；探究|e.g. We have been [[probing]] the reasons why the government has been so slow to react to the problem of climate change.
seasonal|"(usu. before noun) happening, expected, or needed during a particular season 季节性的；时令的；当令的"|e.g. One major factor causing [[seasonal]] variations in food supplies was the difficulty of storage.
periodic|"(also periodical) (only before noun) happening a number of times, usu. at regular times 周期（性）的；定期的"|e.g. Do a [[periodic]] review of your lecture notes and the relevant chapters in your textbooks.
neutrino|[C] 中微子|
inhabitant|[C] a person or animal that lives in a particular place 居民；栖居的动物|"e.g. According to the report, the city's first [[inhabitants]] arrived in the 16th century."
detection|[U] the fact or process of noticing or discovering sth. 觉察；发现；侦察；探测|e.g. There should be a more effective treatment for patients identified through early [[detection]].
property|"1) [C, usu. pl.] a quality or power that a substance, plant, etc. has 特性；性质；属性"|e.g. For practical purposes the solar spectrum (光谱) is divided into regions with characteristic [[properties]].；e.g. Please take care of your own belongings. The hotel is not responsible for any loss or damage to guests' personal [[property]].
property|2) [U] the thing or things that sb. owns 所有物；资产；财产|e.g. For practical purposes the solar spectrum (光谱) is divided into regions with characteristic [[properties]].；e.g. Please take care of your own belongings. The hotel is not responsible for any loss or damage to guests' personal [[property]].
restrict|1) (~ yourself  to doing sth.) allow yourself or sb. to have only a limited amount of sth. or to do only a particular kind of activity 约束；限制|"e.g. The senator said he would voluntarily [[restrict]] himself to $2.2 million in campaign spending.；e.g. Because of limited space, the number of people who can attend the ceremony is [[restricted]] to 35."
restrict|"2) limit the size, amount or range of sth. 限制，限定 （大小、数量、范围等）"|"e.g. The senator said he would voluntarily [[restrict]] himself to $2.2 million in campaign spending.；e.g. Because of limited space, the number of people who can attend the ceremony is [[restricted]] to 35."
solar|(only before noun) of or connected with the Sun 太阳的|e.g. An increase in the number of dark spots on the Sun marks a period of high [[solar]] activity.
doom|"(usu. passive) make sb. / sth. certain to fail, die, be destroyed, etc. 使注定（失败、死亡、毁灭等）"|"e.g. A rare star system has been found in our Milky Way galaxy, but it is [[doomed]] to end in a massive explosion."
extraterrestrial|relating to things that exist outside the Earth 地球外的；宇宙的；外星的|"e.g. Over the years, we've been conditioned to accept the possibility of [[extraterrestrial]] life through movies and reports about alien encounters."
