inherit|"have qualities, physical features, etc. that are similar to those of your parents, grandparents, etc. 经遗传获得（品质、身体特征等）"|e.g. Mr. Grass [[inherited]] his work ethic from his father.；e.g. He [[inherited]] a large sum of money from his grandmother about 10 years ago.|
inherit|"receive money, property, etc. from sb. when they die 继承（金钱、财产等）"|e.g. Mr. Grass [[inherited]] his work ethic from his father.；e.g. He [[inherited]] a large sum of money from his grandmother about 10 years ago.|
sensible|"reasonable, practical, and showing good judgment 明智的；合理的；实际的；有判断力的"|e.g. People are far more [[sensible]] about what and how much they drink these days.|
apply to|"have an effect on or concern a particular person, group, or situation 适用于；对···有效"|e.g. The offer only [[applies to]] flights from London and Manchester.|
at all costs / cost|whatever is needed to achieve sth. 不惜一切代价|"e.g. I have to avoid being late for work again [[at all costs]], or I'll lose my job."|
straight away / off|"(BrE, spoken) immediately or without delay 立刻；马上"|e.g. I wrote him a letter and posted it [[straight away]].|
in terms of|(also in … terms) used to show what aspects of a subject you are talking about or how you are thinking about it 谈及；就···而言；在···方面；从···方面来说|e.g. It's a mistake to think of Florida only in terms of its tourist attractions.|
with respect to|(also in respect of) (fml.) concerning or in relation to sth. 关于···；就···而言|e.g. The two groups were similar with respect to income and status.|
in line with|"similar to, or at the same level as sth. 与···相似；与···水平一致"|e.g. The new policy is [[in line with]] the plans that were discussed last year.|
stereotype|[C] a belief or idea of what a particular type of person or thing is like 模式化的思想；老一套；旧框框|e.g. Current evidence indicates that older people are more healthy than popular [[stereotypes]] suggest.|
prominence|[U] the fact of being important and well-known 重要；杰出；著名|e.g. His rise to [[prominence]] would not have been possible without the war.|
sentiment|"1) [U] feelings of pity, love, sadness, etc. that are often considered to be too strong or not suitable for a particular situation 多愁善感；感情因素"|e.g. He was overwhelmed by [[sentiment]] as he thought of his wife.；e.g. Public [[sentiment]] is against any change to the law.|
sentiment|"2) [C, U] (fml.) an opinion or feeling you have about sth. 意见；观点；感想"|e.g. He was overwhelmed by [[sentiment]] as he thought of his wife.；e.g. Public [[sentiment]] is against any change to the law.|
feminine|having the qualities or appearance considered to be typical of women; connected with women （指气质或外貌）女性特有的；女性的|e.g. Amelia's report describes the experience from a [[feminine]] point of view.|
literary|connected with literature 文学的；文学上的|"e.g. In a [[literary]] essay, you should explore the meaning and construction of the text."|
maternal|having feelings that are typical of a caring mother toward a child 母性的；母亲般慈爱的|e.g. She seems to have a strong [[maternal]] instinct.|
excessively|to a much greater level or degree than seems reasonable or appropriate 过度地；过多地|e.g. The country relies [[excessively]] on borrowing from abroad.|
gender|"[C, U] the fact of being male or female 性别"|e.g. It is a country where [[gender]] roles have remained largely unchanged.|
inequality|"[C, U] the unfair difference between groups of people in society, when some have more wealth, status, or opportunities than others 不平等；不平衡；不平均"|e.g. There has been an increase in economic [[inequality]] between different areas of the country.|
bias|"[U, sing.] an unfair personal opinion that influences your judgment 偏见；成见；偏心"|e.g. It's clear that the company has a [[bias]] against women.|
periodical|"[C] a magazine, esp. one about a serious or technical subject 期刊"|e.g. Readers will find a complete list of [[periodicals]] dealing with that subject.|
publication|"[C, U] the act of printing a book, a magazine, etc. and making it available to the public; a book, a magazine, etc. that has been published （书刊等的）出版，发行；出版物"|e.g. That professor was the author of 70 major scientific [[publications]].|
analyze|" examine or think about sth. carefully, in order to understand it 分析；剖析"|e.g. We use a special computer program to [[analyze]] all the sales figures.|
identify|recognize and correctly name sb. / sth. 认出，识别（某人或某物）|e.g. Passengers were asked to [[identify]] their own suitcases before they were put on the plane.|
confirmation|"[C, U] a statement, letter, etc. that shows that sth. is true, correct, or definite 证实；证明"|e.g. I'm still waiting for [[confirmation]] of the test results.|
predictable|acting or happening in a way that is expected 可预料的；可预见的|"e.g. In March and April, the weather in this area is much less [[predictable]]."|
startling|very unusual or surprising 异乎寻常的；令人惊奇的|e.g. These myths have a [[startling]] likeness to one another.|
distinctive|having a quality or characteristic that makes sth. different and easily noticed 特有的；特别的；有特色的|"e.g. Whatever you think of his poetry, it's certainly [[distinctive]]."|
identical|"exactly the same, or very similar 完全相同的；极为相似的"|e.g. The picture is [[identical]] to the one in The Museum of Modern Art in New York.|
concerted|"(only before noun) done in a planned and determined way, esp. by more than one person, government, country, etc. 齐心协力的；一致的"|e.g. Libraries have made a [[concerted]] effort to attract young people.|
discourse|[C] a serious speech or piece of writing on a particular subject （关于某主题的）演讲，论述，著述|e.g. Hastings responds with a lengthy [[discourse]] on marketing strategies.|
quantitative|(fml.) relating to amounts rather than to the quality or standard of sth. （数）量的；与数量有关的；定量的|e.g. We need to do a proper [[quantitative]] analysis of this problem.|
representation|"[U] the fact of having sb. to speak, vote, or make decisions for you 代理；代表"|e.g. Minority groups need more effective parliamentary [[representation]].|
trivial|"not serious, important, or valuable 微不足道的；没有什么价值的"|"e.g. I know it sounds [[trivial]], but I'm worried about it."|
noticeable|easy to see or notice; clear or definite 显著的；显而易见的|e.g. Road noise tends to be more [[noticeable]] in certain weather conditions.|
disguise|"1) hide sth. or change it, so that it cannot be recognized 掩蔽；掩饰"|e.g. The speech was seen by many as a thinly [[disguised]] attack on the president.；e.g. He [[disguised]] himself by wearing a false beard.|
disguise|2) change sb.'s appearance so that people cannot recognize them 装扮；假扮|e.g. The speech was seen by many as a thinly [[disguised]] attack on the president.；e.g. He [[disguised]] himself by wearing a false beard.|
unconscious|"1) (of feelings, thoughts, etc.) existing or happening without you realizing or being aware; not deliberate or controlled （感情、思想等）无意识的，未意识到的"|e.g. He seems to be driven by an [[unconscious]] desire to do better than everyone else.；e.g. They found him lying [[unconscious]] on the floor.|
unconscious|"2) unable to see, move, feel, etc. in the normal way because you are not conscious 不省人事的；失去知觉的"|e.g. He seems to be driven by an [[unconscious]] desire to do better than everyone else.；e.g. They found him lying [[unconscious]] on the floor.|
publisher|"[C] a person or company whose business is to arrange the writing, production, and sale of books, newspapers, etc. （书、报纸等的）出版者，出版商；出版社"|e.g. The [[publisher]] planned to produce the journal on a weekly basis.|
pursue|continue doing an activity or trying to achieve sth. over a long period of time 追求；继续进行|"e.g. Students should [[pursue]] their own interests, as well as do their school work."|
discrimination|[U] the practice of treating one person or group differently from another in an unfair way 歧视|e.g. Laws have got to be tougher to stop [[discrimination]] against the disabled.|
rise to prominence  power| etc.|"become important, famous, powerful, etc. 变得杰出、著名、强大等"|e.g. She played an important supporting role in the family as her husband [[rose to fame]] as an actor.
at stake|at issue or in question 待解决的；成问题的|e.g. His own personal future was [[at stake]].|
