roam|"walk or travel, usu. for a long time, with no clear purpose or direction 闲逛；漫步；漫步于"|e.g. Tigers once [[roamed]] far and wide across much of Southeast Asia.
windmill|[C] 风车；风车磨坊|
sidewalk|[C]  人行道|
grasp|"[sing.] your ability to understand a complicated idea, situation, or subject （对复杂想法、情况或问题的）理解力，领悟力"|e.g. Steve has a good [[grasp]] of the European legal system.；e.g. I [[grasped]] his arm firmly and led him away.
grasp|take and hold sth. firmly 抓牢；握紧|e.g. Steve has a good [[grasp]] of the European legal system.；e.g. I [[grasped]] his arm firmly and led him away.
queue|"(also ~ up)  form or join a line of people or vehicles waiting to do sth. or go somewhere 排队（等候）"|e.g. People are [[queuing]] to get in from 7 a.m.；e.g. All of a sudden a woman elbowed her way to the front of the [[queue]].
queue|"[C]  a line of people waiting to enter a building, buy sth., etc. or a line of vehicles waiting to move （人或车辆为等候而排的）队，行列"|e.g. People are [[queuing]] to get in from 7 a.m.；e.g. All of a sudden a woman elbowed her way to the front of the [[queue]].
wherever|"to or at any place, position, or situation 无论去哪里；无论在哪里；无论什么情况下"|"e.g. [[Wherever]] you choose to live, there are always going to be advantages and disadvantages."
orderly|arranged or organized in a sensible or neat way 有条理的；整齐的|e.g. She put all the letters received in the last two years in three [[orderly]] piles.
scramble|1) struggle or compete with other people to get or reach sth. 争夺；抢夺|e.g. Thousands of people will be [[scrambling]] for tickets.；e.g. She [[scrambled]] down the tree quickly.
scramble|"2) (always + ad. / prep.) climb up, down, or over sth. quickly and with difficulty, esp. using your hands to help you （迅速而吃力地）爬，攀登"|e.g. Thousands of people will be [[scrambling]] for tickets.；e.g. She [[scrambled]] down the tree quickly.
aboard|"on or onto a ship, plane, or train 在船（飞机、火车）上；上船（飞机、火车）"|"e.g. Given the early hour, the train was not crowded at all, with only about 30 passengers [[aboard]].；e.g. After all the troubles, they finally went [[aboard]] the plane."
aboard|"on or onto a ship, plane, or train 在（船、飞机、火车）上；上（船、飞机、火车）"|"e.g. Given the early hour, the train was not crowded at all, with only about 30 passengers [[aboard]].；e.g. After all the troubles, they finally went [[aboard]] the plane."
upside down|with the top at the bottom and the bottom at the top 倒置地；颠倒地|"e.g. To get the plant out of the pot, turn it [[upside down]] and give it a gentle knock."
impulse|"[C, U] a sudden strong desire to do sth. without thinking about whether it is a sensible thing to do 冲动；突然的欲望"|e.g. Mary felt a sudden [[impulse]] to play some music.
bounce|(cause to) move up or away after hitting a surface （使）弹起；（使）反弹；（使）弹跳|e.g. The ball [[bounced]] twice before he could reach it.
humour|"[U]  the ability to find things funny, the way in which people see that some things are funny, or the quality of being funny 幽默感；幽默"|e.g. Even a speech on a serious subject could be delivered with a little [[humour]].
Swiss|(the ~) [pl.] 瑞士人|
Spanish|(the ~) [pl.] 西班牙人|
excite|1) (fml.) cause a particular feeling or reaction 引起；激起|"e.g. This product has [[excited]] a great deal of media interest.；e.g. His playing is technically brilliant, but it doesn't [[excite]] me."
excite|"2) (not in progressive) make sb. feel happy, interested, or eager 使兴奋；使激动"|"e.g. This product has [[excited]] a great deal of media interest.；e.g. His playing is technically brilliant, but it doesn't [[excite]] me."
childlike|having qualities that are typical of a child 孩子般的；像孩子似的；天真无邪的|e.g. All her life she had a [[childlike]] trust in other people.
ignorant|not knowing information or facts that you ought to know 无知的；愚昧的|e.g. They remained [[ignorant]] of the troubles that lay ahead.
reliably|in a way that can be trusted or believed 可靠地；可信赖地|e.g. The website helps you find what you want faster and more [[reliably]].
endanger|"put sb. / sth. in danger of being hurt, damaged, or destroyed 使处于险境；危及"|e.g. We must be careful not to do anything that might [[endanger]] the economic recovery.
existence|"1) [C, usu. sing.] a particular way of life 生活；生活方式"|e.g. Surfing the Internet has become part of our everyday [[existence]].；e.g. The organization has been in [[existence]] for 25 years.
existence|2) [U] the state of existing 存在；实有|e.g. Surfing the Internet has become part of our everyday [[existence]].；e.g. The organization has been in [[existence]] for 25 years.
chambermaid|[C] 打扫房间的女工；（尤指宾馆里的）客房女服务员|
packet|[C] (BrE) a small paper or cardboard container in which goods are packed for selling （装商品的）小包，小袋，小盒|e.g. Could you please kindly bring me a few [[packets]] of biscuits?
sniff|smell sth. by taking air in through your nose 嗅；闻|e.g. She put perfume on her wrist and [[sniffed]] it.；e.g. We all had colds and couldn't stop [[sniffing]] and sneezing.
sniff|"breathe air into your nose noisily, for example when you are crying or have a cold （因哭泣、感冒等）抽鼻子"|e.g. She put perfume on her wrist and [[sniffed]] it.；e.g. We all had colds and couldn't stop [[sniffing]] and sneezing.
puzzle|confuse sb. or make them feel slightly anxious because they do not understand sth. 使困惑；使迷惑|e.g. The findings of the survey [[puzzled]] me — they were not at all what I would have expected.
puzzle|[C] 拼图游戏；拼图玩具|e.g. The findings of the survey [[puzzled]] me — they were not at all what I would have expected.
charm|please and interest sb. 吸引···的兴趣；迷住|"e.g. The story has [[charmed]] generations of children.；e.g. Snow White and the Seven Dwarfs, the 1937 Disney classic, has lost none of its original [[charm]]."
charm|"[C, U] a quality that makes you like or feel attracted to sb. / sth. 魅力；吸引力"|"e.g. The story has [[charmed]] generations of children.；e.g. Snow White and the Seven Dwarfs, the 1937 Disney classic, has lost none of its original [[charm]]."
no more … than|used to emphasize that sb. / sth. does not have a particular quality or would not do sth. 根本不···；完全不···|e.g. He's no more fit to be the group leader than I am.
get around|" if news or information gets around, it is told to a lot of people （新闻或消息）传开"|e.g. Word [[got around]] that the shopping mall might be closed.
for instance|for example 例如|"e.g. We found out that fruit loaf (水果面包) is better than cake or chocolate, for instance."
get the hang of sth.|(infml.) understand the technique of doing sth. 掌握···的窍门|e.g. It's not difficult once you get the hang of it.
pull up|"when a vehicle or driver pulls up, the vehicle slows down and stops （车辆或司机）停车"|e.g. The taxi [[pulled up]] and the driver jumped out.
as far as sb. is concerned|(spoken) used to show what sb.'s opinion on a subject is or how it affects them 在某人看来；就某人而言|"e.g. As far as I am concerned, a change of policy is needed to reduce the unemployment rate."
wash out|"wash sth. quickly, esp. the inside of a container 洗净（尤指容器内壁）"|"e.g. When the bottle is empty, [[wash it out]] thoroughly before refilling."
in the end|"after a period of time, or after everything has been done 最后；终于"|"e.g. As long as you try hard, you'll surely succeed in the end."
tuck|"1) put sth. into a small space, esp. in order to protect, hide, carry, or hold it 把···放起来"|e.g. [[Tuck]] your gloves in your pocket so that you don't lose them.；e.g. The new housekeeper [[tucked]] the bottom of the sheet under the mattress as she was taught to.
tuck|"2) push a loose end of a piece of clothing or material into a particular place or position, esp. to make it tidy or comfortable 把（衣服等的末端）塞进"|e.g. [[Tuck]] your gloves in your pocket so that you don't lose them.；e.g. The new housekeeper [[tucked]] the bottom of the sheet under the mattress as she was taught to.
casual|1) without any serious interest or attention 不认真的；随便的|"e.g. He gave us a [[casual]] glance as he walked by, but didn't stop.；e.g. His eyes were angry, though he sounded [[casual]]."
casual|"2) relaxed and not worried, or seeming not to care about sth. 漫不经心的；不放在心上的"|"e.g. He gave us a [[casual]] glance as he walked by, but didn't stop.；e.g. His eyes were angry, though he sounded [[casual]]."
serendipity|[U] (literary) when interesting or valuable discoveries are made by accident （有趣或有价值事物的）碰巧发现，机缘巧合|"e.g. Meeting her like that, and there of all places, was true [[serendipity]]!"
devour|"1) read sth. quickly and eagerly, or watch sth. with great interest 如饥似渴地阅读；津津有味地看"|e.g. She spent several evenings [[devouring]] the science fiction books borrowed from the library.；e.g. After the tennis match the boys [[devoured]] the sandwiches in seconds.
devour|2) eat sth. quickly because you are very hungry 狼吞虎咽地吃|e.g. She spent several evenings [[devouring]] the science fiction books borrowed from the library.；e.g. After the tennis match the boys [[devoured]] the sandwiches in seconds.
throes|[pl.] (in the ~ of sth.) (fml.) in the middle of a very difficult situation 处于···的困境中|e.g. The country is presently in the [[throes]] of a profound economic crisis.
transition|"[C, U] (fml.) when sth. changes from one form or state to another 过渡；转变；变迁"|"e.g. Sometimes, making the [[transition]] from adolescence (青春期) to adulthood can be painful.；e.g. Having been in the position for over 10 years, Jack will finally [[transition]] to his new role next month."
transition|change to a new state or start using sth. new 过渡；转变|"e.g. Sometimes, making the [[transition]] from adolescence (青春期) to adulthood can be painful.；e.g. Having been in the position for over 10 years, Jack will finally [[transition]] to his new role next month."
cathedral|[C] the main church of a particular area under the control of a bishop 大教堂；教区总教堂|e.g. The old city around the [[cathedral]] is the most colorful part of town.
babushka|[C] （来自俄语）老婆婆；祖母|
toothbrush|[C] 牙刷|
metro|(pl. metros) 地铁|
telling|"showing the true character or nature of sb. / sth., often without being intended 说明问题的；显露真相的"|e.g. The tomb stands today as a [[telling]] memorial to the period.
snapshot|1) a piece of information that quickly gives you an idea of what the situation is like at a particular time 简要描述；简介|e.g. The book gives us a [[snapshot]] of life in the Middle Ages.；e.g. He takes [[snapshots]] with a simple camera.
snapshot|2) a photograph taken quickly and often not very skillfully 快照（通常技巧不高）|e.g. The book gives us a [[snapshot]] of life in the Middle Ages.；e.g. He takes [[snapshots]] with a simple camera.
capitalism|[U] 资本主义|
virtually|1) almost; practically 几乎|"e.g. He was [[virtually]] unknown in the community before running for office.；e.g. With the new technology, the tour of a museum can be done [[virtually]]."
virtually|"2) on a computer, rather than in the real world 虚拟地；模拟地"|"e.g. He was [[virtually]] unknown in the community before running for office.；e.g. With the new technology, the tour of a museum can be done [[virtually]]."
fossil|[C] 化石|
fossilize|1) (usu. passive) become or form a fossil by being preserved in rock （使）成化石，石化|"e.g. In Wyoming, I visited a rock shop made entirely of [[fossilized]] dinosaur bones.；e.g. Most couples, however [[fossilized]] their relationship, have some interests in common."
fossilize|"2) if people, ideas, systems, etc. fossilize or are fossilized, they never change or develop, even when there are good reasons why they should change（使）（人、思想、体制等）僵化"|"e.g. In Wyoming, I visited a rock shop made entirely of [[fossilized]] dinosaur bones.；e.g. Most couples, however [[fossilized]] their relationship, have some interests in common."
volcanic|relating to or caused by a volcano 火山的；由火山作用引起的|e.g. Geologists understand many of the factors that cause [[volcanic]] eruptions.
mudflow|[C] 泥流|
antidote|1) sth. that makes an unpleasant situation better 缓解方法；对抗手段|e.g. Regular exercise is the best [[antidote]] to tiredness and depression.；e.g. There is no known [[antidote]] to a bite from this snake.
antidote|2) a substance that stops the effects of a poison 解毒剂|e.g. Regular exercise is the best [[antidote]] to tiredness and depression.；e.g. There is no known [[antidote]] to a bite from this snake.
photography|"[C] the art, profession, or method of producing photographs or the scenes in films 摄影；摄影业；摄影术"|"e.g. After I went on a [[photography]] course, my friend asked me to take some photos of her."
Victorian|英国维多利亚（女王）时代的|
critic|"1) sb. whose job is to make judgments about the good and bad qualities of art, music, films, etc.（艺术、音乐、电影等的）评论家，批评家"|e.g. The play has been well received by the [[critics]].；e.g. [[Critics]] of the scheme have said that it will not solve the problem of teenage crime.
critic|"2) sb. who criticizes a person, organization, or idea 批评者"|e.g. The play has been well received by the [[critics]].；e.g. [[Critics]] of the scheme have said that it will not solve the problem of teenage crime.
sketch|draw a sketch of sth.（给···）画速写；（给···）画素描|e.g. The art students were told to [[sketch]] the landscape.；e.g. Cantor drew a rough [[sketch]] of his apartment.
sketch|"[C] a simple, quickly made drawing that does not show much detail 素描；速写；草图"|e.g. The art students were told to [[sketch]] the landscape.；e.g. Cantor drew a rough [[sketch]] of his apartment.
jot|"(jotted, jotting) (~ down) write a short piece of information quickly 草草记下"|e.g. Let me [[jot down]] your number and I'll call you tomorrow.
echo|repeat an idea or opinion because you agree with it 附和（别人的观点）|e.g. I've heard the prime minister's view [[echoed]] throughout the party.；e.g. Her scream was followed by a loud [[echo]].
echo|"(pl. echoes) [C] a sound that you hear again after a loud noise, because it was made near sth. such as a wall 回声；回音"|e.g. I've heard the prime minister's view [[echoed]] throughout the party.；e.g. Her scream was followed by a loud [[echo]].
thoughtful|1) showing careful consideration or attention 经缜密思考的；注意的|"e.g. It is a [[thoughtful]] and finely acted film, suggesting that no one has a fixed nature.；e.g. It was really [[thoughtful]] of you to remember my birthday."
thoughtful|2) always thinking of the things you can do to make people happy or comfortable 想得周到的；体贴的；关心的|"e.g. It is a [[thoughtful]] and finely acted film, suggesting that no one has a fixed nature.；e.g. It was really [[thoughtful]] of you to remember my birthday."
capability|"[C] the natural ability, skill, or power that makes a machine, person, or organization able to do sth., esp. sth. difficult（尤指完成困难事情的）能力，才干"|"e.g. I can speak French, but simultaneous interpretation is beyond my [[capabilities]]."
layer|make a layer of sth. or put sth. down in layers 铺一层···；分层放置|e.g. The cliffs are [[layered]] with fossil remains.；e.g. The moon was shining through a thin [[layer]] of cloud.
layer|an amount or piece of a material or substance that covers a surface or that is between two other things 表层；层|e.g. The cliffs are [[layered]] with fossil remains.；e.g. The moon was shining through a thin [[layer]] of cloud.
maximize| increase sth. such as profit or income as much as possible 使增加到最大限度；使最大化|"e.g. The aim of everyone, irrespective of weight, should be to change their eating habits to [[maximize]] the health benefits."
closely|1) very carefully 仔细地；严密地|"e.g. The detective watched him [[closely]], waiting for a reply.；e.g. I have been [[closely]] involved in the work of both committees."
closely|2) to a very great degree 密切地；在很大程度上|"e.g. The detective watched him [[closely]], waiting for a reply.；e.g. I have been [[closely]] involved in the work of both committees."
unfiltered|1) with no information removed （信息）未经过滤的|e.g. The radio station provides millions of people with [[unfiltered]] news.；e.g. [[Unfiltered]] apple juice is such a treat when it's in season in the fall.
unfiltered|2) not having had solids removed with a filter 未经过滤的|e.g. The radio station provides millions of people with [[unfiltered]] news.；e.g. [[Unfiltered]] apple juice is such a treat when it's in season in the fall.
mustache|[C]  hair that grows on a man's upper lip 髭；小胡子|"e.g. The old man had wavy hair, wore a thin [[mustache]], and was dressed conservatively."
musing|"[C, U, usu. pl.] a period of thinking carefully about sth. or telling people your thoughts about it 沉思；诉说想法"|e.g. We had to sit and listen to his [[musings]] on life.
cherish|"if you cherish sth., it is very important to you 重视；珍视"|e.g. I [[cherish]] the memory of that day.
goat|[C] 山羊|
whisperer|"[C] a person who can control and train a particular type of animal just by using the voice and gentle body movements, and without using force or threats （通过低声耳语和轻柔的身体动作）训练动物的人"|e.g. He's the original horse [[whisperer]]! He could get on the back of any horse in half an hour.
tap|"hit sth. gently, and often repeatedly, esp. making short, sharp noises （常指连续）轻拍，轻叩，轻敲"|e.g. Mark [[tapped]] his fingers on the tabletop impatiently.；e.g. I gave her a [[tap]] on the shoulder and she turned around.
tap|"[C] an act of hitting sth. lightly, esp. to get sb.'s attention （尤指为了引起某人注意）轻轻敲击，轻扣，轻拍"|e.g. Mark [[tapped]] his fingers on the tabletop impatiently.；e.g. I gave her a [[tap]] on the shoulder and she turned around.
snugly|"in a way that feels warm, comfortable, and protected 温暖舒适地"|e.g. Jamie was [[snugly]] wrapped in a white woolen scarf.
stripe|"[C] a line of colour, esp. one of several lines of color all close together 条纹；线条"|e.g. She wore a bright green jogging suit with a white [[stripe]] down the sides.
striped|having lines or bands of color 有（彩色）条纹的|"e.g. The suspect was tall, and wore dark blue trousers with a blue and white [[striped]] shirt."
endure|continue to exist for a long time 持续存在|e.g. He wasn't the only one who doubted the relationship would [[endure]].；e.g. It seemed impossible that anyone could [[endure]] such pain.
endure|be in a difficult or painful situation for a long time without complaining 忍耐；忍受|e.g. He wasn't the only one who doubted the relationship would [[endure]].；e.g. It seemed impossible that anyone could [[endure]] such pain.
enduring|lasting for a long time 持久的；耐久的|e.g. One of my most [[enduring]] memories is of going on holiday to France with my parents.
quotation|[C] a group of words taken from a text or speech and repeated by sb. other than the original author or speaker 引文；引语；语录|e.g. The following [[quotation]] is taken from a 19th-century travel diary.
sake|"1) (for sth.'s ~  for its own ~) because of the interest or value sth. has, not because of the advantages it may bring 为某事本身的缘故；鉴于某事本身的价值"|e.g. I don't care about winning or losing; I just enjoy playing sports for sports’ [[sake]].；e.g. The family moved to a coastal city in the south for the [[sake]] of the boy's health.
sake|"2) (for the ~ of sb.  sth.'s ~) in order to help, improve, or please sb.  某事的缘故"|e.g. I don't care about winning or losing; I just enjoy playing sports for sports’ [[sake]].；e.g. The family moved to a coastal city in the south for the [[sake]] of the boy's health.
obey|do what you are told or expected to do 服从；遵守；顺从|e.g. The little girl made no effort to [[obey]].
disobey|"refuse to do what a person, law, order, etc. tells you to do; refuse to obey 不服从；不顺从；违抗"|"e.g. If you [[disobey]] the law, you will be punished."
spiky|having long sharp points 带尖刺的；有刺的|"e.g. Some corals are quite smooth, while others are sharp and [[spiky]]."
chestnut|[C] 栗子；板栗|
shell|[C] （禽蛋、坚果、种子的）壳|
birch|"[C, U] 桦树；桦木"|
sway|move slowly from one side to another 摇摆；摇动；摇晃|e.g. The movement of the ship caused the mast (桅杆) to [[sway]] back and forth.
stumble upon  across|find or discover sth. by chance and unexpectedly 偶然发现（碰见）|e.g. Workmen [[stumbled upon]] the relic while digging the foundations for a new building.
tuck away|"(infml.) store sth. esp. money, in a safe place 把（尤指钱）存放在安全处"|e.g. The envelope was [[tucked away]] in her jewel box.
win out (over)|finally succeed or defeat other people or things 终于成功；胜出|e.g. It remains to be seen whether the archaeologists will [[win out]] over the urban planners.
bring up|mention a subject or start to talk about it 提起（话题）|e.g. Why did you have to [[bring up]] the subject of money?
if not|perhaps even (used to introduce a more extreme term than one first mentioned) 甚至可能（用于提出更极端的说法）|e.g. They cost thousands if not millions of pounds to build.
in real time|(AmE) at once; instantaneously 立刻；实时|e.g. Smart meters show in real time how much electricity and gas is being used by households.
touch up|improve sth. by changing it slightly or adding a little more to it 修改；改进；润色|"e.g. We thought the photo had probably been [[touched up]], because he looked so much younger in it."
get off the ground|start to be successful 开始获得成功；取得进展|e.g. Construction of the theme park never [[got off the ground]] for lack of money.
bring back|make sb. remember sth. or think about it again 使回忆起（想起）|e.g. The photographs [[brought back]] many pleasant memories.
follow in sb.'s footsteps|"do as another person did before, esp. in making a journey or following a particular career 步某人的后尘；走某人走过的路；继承事业"|e.g. She wanted to follow in her mother's footsteps and be a ballroom dancer.
