whole wheat| 用全麦做的；用全麦面粉做的|e.g. The cool temperature helps keep [[whole wheat]] flour fresh for longer.
free-range|"relating to a type of farming which allows animals such as chickens and pigs to move around and eat naturally, rather than being kept in a restricted space 放养的；散养的"|e.g. She says that [[free-range]] chickens taste much better than factory-farmed ones.
participate|(fml.) take part in an activity or event 参加；参与|e.g. China will actively [[participate]] in global affairs and play a constructive role in maintaining world peace.
earbud|"[C, usu. pl.] 耳塞（小型耳机）"|
melt|become or make sth. become liquid as a result of heating （使）熔化，融化|"e.g. The snow had [[melted]], but the lake was still frozen solid."
sustenance|[U] (fml.) food which keeps people or animals strong and healthy 营养；食物|"e.g. Throughout human history we have depended on nature for [[sustenance]], well-being, and development."
profound|very great 巨大的；重大的|e.g. The mother's behavior has a [[profound]] impact on the developing child.
far-reaching|having a great influence or effect 影响深远的|e.g. The report outlines the most [[far-reaching]] changes in housing policy for 30 years.
grave|"grave problems, situations, or worries are very great or bad 严重的；重大的；严峻的"|e.g. The situation poses a [[grave]] threat to world peace.；e.g. She tore the rose apart and scattered the petals (花瓣) over the [[grave]].
grave|[C] a place in the ground where a dead body is buried 墓穴；坟墓|e.g. The situation poses a [[grave]] threat to world peace.；e.g. She tore the rose apart and scattered the petals (花瓣) over the [[grave]].
prediction|"[C, U] a statement about what you think is going to happen, or the act of making this statement 预言；预测"|e.g. He was unwilling to make a [[prediction]] about which books would sell well in the coming year.
get (sb.) through|"pass or assist sb. in passing (a difficult, testing experience, or period) 熬过或助人熬过（困境）"|e.g. I don't know how we're going to [[get through]] the winter.
make fun of|"laugh, or cause others to laugh, rather unkindly at 嘲笑；取笑"|e.g. People [[make fun of]] her because she wears such a strange hat.
at one's disposal|able to be used freely by sb. 供某人支配|e.g. We will use all the means at our disposal to solve this problem.
pick out|recognize sb. / sth. in a group of people or things 分辨出；辨认出|"e.g. Steven describes himself as ""a regular guy — you couldn't [[pick out]] me out of a crowd."""
keep sth. to oneself|not tell anyone about sth. 把···秘而不宣；不将···说出去|e.g. I have to tell someone. I can't [[keep it to myself]].
be far removed from sth.|be very different from sth; not be connected with sth. 与···大相径庭；与···不相干|e.g. Many of these books are far removed from the reality of children's lives.
rely on|be dependent on 依靠|e.g. They have to [[rely on]] the river for their water.
in season|(of fruit or vegetables) easily available and ready to eat because it is the right time of year for them （水果或蔬菜）当令的|e.g. These are the dog days (伏天); watermelons are just in season.
next to|following in order or importance after sb. / sth. 仅次于；紧接|"e.g. [[Next to]] biology, I like physics best."
for the most part|mostly; usually 通常；多半|e.g. These small pieces of land were purchased [[for the most part]] by local people.
down / along the road|in the future 在将来；今后|e.g. She might be able to help you pursue a promotion [[down the road]].
