wrestle|【v.】 fight sb. by holding them and pulling or pushing them （与某人）摔跤，扭打|"The two men wrestled with each other, and it was hard to tell who would win."
ritual|"【n.】 [C, U] 2) a ceremony that is always performed in the same way, in order to mark an important religious or social occasion （为纪念重要宗教或社会事件举行的）仪式，典礼"|The lady of the house still performs the ritual of lighting candles at dinner.
competitive|【a.】 having or displaying a strong desire to be more successful than others 好竞争的；求胜心切的|I could never play team sports 一 I lack the competitive spirit.
palm|【n.】 [C] 手掌；掌部|
twist|【v.】 turn a part of your body around or change your position by turning 扭动（身体）|He twisted his head slightly and looked up at her.
wrap|"【vt.】 1) if you wrap your arms, legs, or fingers around sth., you use them to hold it （用手臂、腿或手指）围住（某物）"|"He wrapped his arms around her, unwilling to leave."
wrap|【vt.】 2) (also 'wrap up') put paper or cloth over sth. to cover it （用纸或布）包，裹（某物）|The present was beautifully wrapped in gold paper.
grip|"【n.】 [C, usu. sing.] the way you hold sth. tightly, or your ability to do this 紧握；紧抓"|Hold the microphone in a firm grip and keep it still.
elbow|【n.】 [C] 肘|He rested one elbow on the wall as he spoke.
indentation|【n.】 [C] (also 'indent') a cut into the surface or edge of sth. 凹口；凹陷；缺口|The kid made an indentation in the center of each cookie.
itchy|"【a.】 1) if clothes are itchy, they make your skin feel slightly unpleasant, so that you want to rub your skin with your nails （衣服）令人发痒的"|The shirt is itchy and uncomfortable.
itchy|"【a.】 2) if part of your body is itchy, it feels slightly unpleasant and you want to rub it with your nails 发痒的"|My eyes sometimes get red and itchy in the summer.
defeat|"【n.】 [C, U] failure to win or succeed 失败"|She was a woman who hated to admit defeat.
yield| [v.]stop resisting sb. / sth.; agree to do sth. that you do not want to do 屈服；让步|He reluctantly yielded to their demands.
yield|" [vt.]produce a result, answer, or piece of information 产生，得出（结果、答案或消息）"|Our research has only recently begun to yield important results.
steady|【a.】 1) firmly held in a particular position and not moving or shaking 稳定的；牢固的；不摇晃的|Keep the camera steady while you take a picture.
steady|"【a.】 2) developing gradually or without stopping, and not likely to change 平稳的；持续的；逐渐的"|The study also notes a steady drop in the number of college students taking science courses.
unsteadily|【ad.】 in a way that involves shaking or moving in a way you cannot control 颤抖地；抖动地|I walked unsteadily to another room and looked outside.
unexpected|【a.】 used to describe sth. that is surprising because you were not expecting it 想不到的；意外的；突然的|The experiment with new methods produced some unexpected results.
handshake|"【n.】 [C] the act of taking sb.'s right hand and shaking it, which people do when they meet or leave each other or when they have reached an agreement 握手"|He greeted me with a firm handshake.
suck|"【v.】 take air, liquid, etc. into your mouth by making your lips form a small hole and using the muscles of your mouth to pull it in 吸；吮；啜"|He sucked hard for air to keep breathing.
brace|【vt.】 (~ oneself / sb. for) mentally or physically prepare yourself or sb. else for sth. unpleasant that is going to happen （使）准备迎接（令人不快的事）|Nancy braced herself for the inevitable arguments during the meeting.
embrace|" 【n.】[C] the act of holding sb. close to you, esp. as a sign of love 拥抱"|They held each other in a tender embrace.
embrace| 【v.】put your arms around sb. and hold them in a friendly or loving way 抱；拥抱|The couple were sort of crying for joy and embracing each other.
throat|【n.】 [C] 喉咙；咽喉|
sadness|【n.】 [U] the state of feeling sad 悲伤；悲痛|It was with great sadness that we learned of his death.
dresser| 【n.】 [C] 1) a low table with a mirror where one sits while applying makeup 梳妆台|Mary took the watch out of her dresser and put it on.
dresser|" 【n.】 [C] 2) a piece of furniture with drawers for storing clothes, sometimes with a mirror on top 衣橱"|He put the pants in the dresser and went to bed.
sling|" 【vt.】 (slung, slung) 1) hang sth. loosely （松松垮垮地）挂，吊，悬"|She likes to wear a belt slung around her waist.
sling|" 【vt.】 (slung, slung) 2) throw or put sth. somewhere with a careless movement and some force （随意而稍用力地）拐，掷，抛"|He stood up and slung his gun over his shoulder.
oversized| 【a.】 bigger than usual or too big 大于一般的；太大的|I'm sorry. Your parcel is a bit oversized.
sunglasses| 【n.】 [pl.] 太阳镜；墨镜|
entire|" 【a.】 (only before noun) used when you want to emphasize that you mean all of a group, period of time, amount, etc. 全部的；整个的"|He was so tired that he slept through the entire movie.
porch|" 【n. [C] 1) (AmE) a structure built onto the front or back entrance of a house, with a floor and a roof but no walls （房屋前后的）游廊，走廊；阳台"|
porch| 【n. [C] 2) (BrE) an entrance covered by a roof outside the front door of a house or church （房子或教堂前门外有顶的）入口，门廊|
carton| 【n.】 [C] a small box made of cardboard or plastic that contains food or a drink 硬纸盒；塑料盒|She was so thirsty that she drank a carton of orange juice.
rewind|" 【vt.】 (rewound, rewound) make a cassette tape or video go backward in order to see or hear it again 倒回（录音带或录像带）"|He rewound the tape and replayed a few pieces.
sip|" 【v.】 drink sth. slowly, taking very small mouthfuls 小口地喝；抿；呷"|She was sitting at the table sipping her coffee.
patio|" 【n.】 [C] (pl. patios) a flat hard area near a house, where people sit outside （房屋外面的）露台，平台"|
seagull| 【n.】 [C] 海鸥|
rail| 【n.】 [U] the railway system 铁路系统|
obligation|" 【n.】 [C, U] a moral or legal duty to do sth. （道义或法律上的）义务，职责，责任"|Employers have an obligation to treat all employees equally.
reassure| 【vt.】 make sb. feel calmer and less worried or frightened about a problem or situation 使安心；使放心；使消除疑虑|"He tried to reassure me, but I still felt anxious."
handwritten|" 【a.】 written by hand, not printed 手写的"|Would you like the essay typed or handwritten?
shamelessly| 【ad.】 without feeling ashamed of your bad behavior although other people think you should be ashamed 无耻地；不知羞耻地|He shamelessly abandoned the project when he realized he would not gain any benefits from it.
drunk|" 【a.】 (not before noun) unable to control your behavior, speech, etc. because you have drunk too much alcohol 喝醉的"|David got drunk and I had to take him home and put him to bed.
thunderstorm| 【n.】 [C] a storm with thunder and lightning 雷暴|"Eventually, the thunderstorm stopped and we saw a beautiful rainbow in the sky."
cuddle|" 【v.】 hold sb. / sth. very close to you with your arms around them, esp. to show that you love them （尤指表示喜爱而）抱，拥抱，搂抱"|Dawn and her boyfriend were cuddling on the sofa.
dependent| 【a.】 1) (be ~ on / upon) be directly affected or decided by sth. else 取决于某物|Your pay is dependent on how much you produce.
dependent| 【a.】 2) needing sb. / sth. in order to survive or be successful 依靠的；依赖的|You can't be dependent on your parents all your life.
pick up|" let sb. get into your car, boat, etc. and take them somewhere 搭载；接载"|I'll pick you up at the station and take you to the dinner party afterward.
work against| work effectively toward countering or defeating sb. / sth. 有效地对抗；击败|I heard that pepper spray works well against bears.
lift off|" if an aircraft or spacecraft lifts off, it leaves the ground and rises into the air （飞机）起飞；（航天器）升空"|The aeroplane lifted off at noon for New York with more than 100 passengers.
stay up| not go to bed at the time you would normally go to bed 熬夜；深夜不睡觉|"With so much homework to do, I will have to stay up late tonight."
settle for|" accept sth. even though it is not the best, or not what you really want 勉强接受；将就"|"They want $2,500 for it, but they might settle for $2,000."
within walking distance| near enough to walk to easily 在步行距离之内|She used to live within walking distance of her children.
on one's mind|" if sth. is on your mind, you keep thinking or worrying about it 挂在心上的；惦念的"|He looked as though he had something on his mind.
at the top of one's lungs| as loudly as possible 尽量大声地；放声地|"He came running up to me screaming at the top of his lungs, ""I love you!"""
cuddle up| lie or sit very close to sb. / sth. 偎依|We cuddled up together to keep out the cold.
