round out|"make sth. more complete, esp. by adding another feature （尤指通过增加另一特点而）使更加完美，彻底完成"|e.g. The feedback is that more research and solid evidence are needed to [[round]] out the article.|
draw up|"prepare a written document, such as a list or contract 起草，拟定（名单、合同等）"|e.g. Local authorities have [[drawn]] up guidelines on waste treatment and disposal.|
derive|develop or come from sth. else 源自；源于|"e.g. This word is [[derived]] from Latin, meaning ""water.""；e.g. Medically, we will [[derive]] great benefit from the application of this technique."|
derive|"vt.get sth., esp. an advantage or a pleasant feeling, from sth. 得到，获得（优势或愉快的感受）"|"e.g. This word is [[derived]] from Latin, meaning ""water.""；e.g. Medically, we will [[derive]] great benefit from the application of this technique."|
arouse|1) make sb. feel sexually excited 激起···的性欲|e.g. His strange behavior at the meeting yesterday [[aroused]] my suspicion.|
arouse|2) make sb. have a particular feeling or attitude 激起（感情、态度）|e.g. His strange behavior at the meeting yesterday [[aroused]] my suspicion.|
cellular|consisting of or relating to the cells of plants or animals 由细胞组成的；细胞的|e.g. Researchers have been observing the course of the disease at the cellular level.|
prompt|[C] （计算机屏幕上显示准备接受指令的）提示， 提示符|e.g. The computer program will [[prompt]] the user to enter data where it is required.|
prompt|vt.make people say or do sth. as a reaction 引起，激起（某人说或做某事）|e.g. The computer program will [[prompt]] the user to enter data where it is required.|
command|1) an instruction to a computer to do sth. 指令|e.g. Check that the computer has executed the [[commands]] that you typed in.；e.g. An officer stood on one of the tanks and began shouting [[commands]] through a loudspeaker.|
command|2) an order that should be obeyed 命令；指示|e.g. Check that the computer has executed the [[commands]] that you typed in.；e.g. An officer stood on one of the tanks and began shouting [[commands]] through a loudspeaker.|
recipient|(fml.) sb. who receives sth. 接受者；领受者|"e.g. I felt glad that I was a giver of pleasure, not merely a passive [[recipient]]."|
circulation|"[U, sing.] the movement of blood around your body 血液循环"|e.g. Stretching is a good way to relax muscles and to increase blood [[circulation]] during long-time air travel.|
insulin|[U] 胰岛素||
glucose|[U] 葡萄糖||
testosterone|[U] 睾酮||
leptin|[U] 瘦蛋白||
overeat|"eat too much, or eat more than is healthy 吃得过多； 暴食"|e.g. A woman who [[overeats]] during pregnancy can cause health problems for her child.|
diffusely|over a wide area 弥漫地；扩散地；漫射地|"e.g. One weakness of the essay is that the information is given diffusely instead of in a certain section, thereby reducing the effective communication of ideas."|
thyroid|[C] 甲状腺||
sluggish|"moving, reacting or working more slowly than normal and in a way that seems lazy 缓慢的；迟缓的；懒洋洋的"|e.g. The company has been rather [[sluggish]] in responding to the rapid changes in technology.|
oblivious|(not before noun) not knowing about or not noticing sth. that is happening around you 不知道的；未察觉到的|"e.g. He went on and on about how successful he was, [[oblivious]] to the fact that he had hurt her."|
boost|increase or improve sth. and make it more successful 促进；推动；使兴旺|e.g. They won the semi-final and this [[boosted]] the morale (士气) of the team.|
adrenaline|(also adrenalin) [U] 肾上腺素||
digit|[C] （从0到9的任何一个）数字||
ephemeral|existing or popular for only a short time 短暂的；只流行一时的|e.g. Many words appearing during that period were quite [[ephemeral]] and have passed into history.|
inactivate|make inactive 使不活动；使不活跃|e.g. Researchers have identified antibodies (抗体) that [[inactivate]] the virus before it has the chance to change itself.|
kidney|[C] 肾；肾脏||
exception|"[C, U] sb. / sth. that is not included in a general statement or does not follow a rule or pattern 例外；除外"|"e.g. Few guitarists can sing as well as they can play; however, he is an [[exception]]."|
linger|"continue to exist, be noticeable, etc. for longer than is usual or desirable 继续留存（较惯常或理想的时间长）"|e.g. The faint smell of her perfume [[lingered]] on in the room long after she had left.|
predictive|(usu. before noun) (fml.) relating to the ability to show what is going to happen in the future 预测的； 预言的；前瞻的|e.g. Newton's physical theories are a good example of how a scientific theory may be [[predictive]] as well as explanatory.|
midway|1) when half a period of time has passed （一段时间）在中间的；到一半（的）|e.g. She was interrupted by the chairperson when she was [[midway]] through her presentation.；e.g. We are coming close to the [[midway]] point between Los Angeles and San Francisco.|
midway|"2) between two places, and the same distance from each of them 在中途（的）；在半路（的）；在中间（的）"|e.g. She was interrupted by the chairperson when she was [[midway]] through her presentation.；e.g. We are coming close to the [[midway]] point between Los Angeles and San Francisco.|
anticipation|[U] a feeling of excitement about sth. enjoyable that is going to happen in the near future 期望；盼望|e.g. There was a sense of [[anticipation]] in the audience as the curtain went up for the play.|
gastrin|[U] 胃泌素；促胃液素||
trigger|"make sth. happen very quickly, esp. a series of events 引发，激发（尤指一系列事件）"|e.g. There must be specific events which [[triggered]] the aggressive displays in your dog.|
acid|"[C, U] 酸（一种化学物质）"||
digestion|[U] the process of digesting food 消化（过程）|e.g. [[Digestion]] is the organic process by which food is converted into substances that can be absorbed into the body.|
gland|[C] 腺||
tumour|[C]  肿瘤；肿块；瘤||
hyperthyroidism|[U] 甲状腺功能亢进||
stature|1) sb.'s height or size 身高；身材|"e.g. I was by no means short in [[stature]], but next to this man I felt like a dwarf (矮子).；e.g. At that time there were no other universities in England equal in [[stature]] to Oxford and Cambridge."|
stature|2) the degree to which sb. is admired or regarded as important 名声；声望|"e.g. I was by no means short in [[stature]], but next to this man I felt like a dwarf (矮子).；e.g. At that time there were no other universities in England equal in [[stature]] to Oxford and Cambridge."|
surge|"1) if a large amount of a liquid, electricity, chemical, etc. surges, it moves very quickly and suddenly （大量液体）汹涌；（电流）浪涌；（化学物等）突然涌动"|"e.g. Adrenaline [[surged]] through her veins.；e.g. After the doors of the theater opened, the crowd [[surged]] forward and police had to intervene."|
surge|2) suddenly move very quickly in a particular direction 迅速涌动；蜂拥向前|"e.g. Adrenaline [[surged]] through her veins.；e.g. After the doors of the theater opened, the crowd [[surged]] forward and police had to intervene."|
meanwhile|1) used for emphasizing the difference between two situations 而（用于强调两种情况之间的差异）|"e.g. Stress can be extremely damaging to your health. Exercise, [[meanwhile]], can reduce its effects.；e.g. The hurricane will reach the island this evening. [[Meanwhile]], residents are being evacuated (转移)."|
meanwhile|2) while sth. else is happening 与此同时|"e.g. Stress can be extremely damaging to your health. Exercise, [[meanwhile]], can reduce its effects.；e.g. The hurricane will reach the island this evening. [[Meanwhile]], residents are being evacuated (转移)."|
suppress|"1) prevent sth. from growing or developing, or from working effectively 抑制（生长、发展、起作用等）"|e.g. It is probable that the medication will [[suppress]] the symptom without treating the condition.；e.g. Illegal cross-border transactions are very active in this area despite international attempts to [[suppress]] them.|
suppress|2) stop opposition or protest using military force or strict laws （凭借武力或严格的法律）平定，制止，镇压|e.g. It is probable that the medication will [[suppress]] the symptom without treating the condition.；e.g. Illegal cross-border transactions are very active in this area despite international attempts to [[suppress]] them.|
urine|[U] 尿||
pee|(infml.) pass liquid waste from your body 撒尿|e.g. I need to [[pee]] before I leave. It's going to be a long journey.|
act on / upon|"do sth. because of another person's advice or order, or because you have received information or had an idea 根据···行事"|e.g. A patient will usually listen to the doctor's advice and [[act]] on it.|
top up|increase the level of sth. slightly so as to bring it back to the level you want 补足；将···增加到所需之量|e.g. He had to do extra jobs on the weekend to [[top]] up his income and support the family.|
sign off|write your final message at the end of an informal letter （写非正式信件时）收笔|"e.g. It's getting late, so she wrote a few more lines and [[signed]] off with ""Yours, Janet."""|
