foolish|"【a.】 unwise, without good sense 愚蠢的；笨的"|It would be foolish to spend money on something you can't afford.
warp|" 【v.】become, or make sth. become, twisted or bent out of its natural shape, for example because it has become too hot, too damp, etc.（使）扭曲，弯曲，变形"|The window frame must have been warped; it won't close properly.
correspond|【vi.】 (~ to / with) be the same as or match sth. 相一致；符合|Your account of the event does not correspond with hers.
survival|【n.】 [U] the state of continuing to live or exist 生存；幸存|"The man's survival was surprising, as the doctors thought he would die."
hunter-gatherer|"【n.】 [C] a member of a group of people that lives by hunting and looking for plants that can be eaten, rather than by keeping animals for food or by growing crops 采猎者（以打猎和采集植物为生的人）"|
bolt|"【vi.】 suddenly run somewhere very quickly, esp. in order to escape or because you are frightened 逃跑；跑开"|The thief bolted when he saw the policeman.
scratch|【v.】 rub your fingernails against your skin 抓；搔|Jessica lifted her sunglasses and scratched her nose.
sprint|【vi.】 run very fast for a short distance（短距离）快速奔跑，冲刺|I saw Charlie sprinting through the traffic toward me.
gene|"【n.】 [C] a part of a cell in a living thing which controls its physical characteristics, growth, and development 基因"|He said he was good at sports because he had the athletic gene.
descendant|"【n.】 [C] sb. who is related to a person who lived a long time ago, or to a family, group of people, etc. that existed in the past 后代；后裔"|They are descendants of the original English and Scottish settlers.
rooted|【a.】 firmly fixed and unchangeable（观念、原则等）根深蒂固的|The report suggests that deeply rooted cultural and social factors play a role in these behaviors.
impressive|"【a.】 (of things or people) making a strong impression, because they are very large, good, skillful, etc. 给人印象深刻的"|The building looked as impressive in reality as it did in photographs.
Nazi|【a.】 belonging to or connected with the National Socialist German Workers' Party which controlled Germany from 1933 to 1945 纳粹党的|
propaganda|"【n.】 [U] information which is false or which emphasizes just one part of a situation, used by a government or political group to make people agree with them（政府或政党为了影响民意而进行的）宣传"|These reports clearly contain elements of propaganda.
radical|【a.】 thorough and complete 彻底的；完全的|The Football League has announced its proposals for a radical reform of the way football is run in England.
roar| 【v. 】shout sth. in a deep powerful voice 咆哮；大声喊叫|It was such a great performance that the audience roared with appreciation.
roar|" 【vi.】make a deep, very loud noise 吼叫；呼啸"|We were so afraid as we heard a lion roar.
anonymously|【ad.】 namelessly; without giving a name 以匿名的方式；不透露姓名地|The latest photographs were sent anonymously to the magazine's Paris headquarters.
consent|"【vi.】 (~ to) give your permission for sth., or agree to do sth. 同意；允许"|She asked her mother whether she would consent to a small celebration after her graduation.
advertising|"【n. 】 [U] the activity or business of drawing public attention to goods and services on television, in newspapers, etc. 广告活动；广告业"|The advertising campaign is aimed primarily at young people.
disadvantage|"【n.】 [C, U] sth. that causes problems and tends to stop sb. / sth. from succeeding or making progress 不利因素；缺点"|You have to balance the advantages of living downtown against the disadvantages.
skeptical|【a.】  having doubts that a claim or statement is true or that sth. will happen 怀疑的；心存疑惑的|They are skeptical about my chances of winning.
novelist|【n.】 [C] a person who writes novels 小说家|Mark Twain has been regarded as the greatest American novelist of his generation.
transit|【n.】[U] 1)  a system for moving people from place to place 交通运输系统|The president wants to improve the nation's highway and mass transit system.
transit|【n.】[U] 2) the process of moving goods or people from one place to another （货物或人的）运输|They promised that my baggage would not be damaged in transit.
convert|"【vt.】 change sth. into a different form, or change sth. so that it can be used for a different purpose or in a different way 使转变；使转化；使改造"|This device can be used to convert a signal into a digital code.
prototype|【n.】 [C] the first design of sth. from which other forms are copied or developed 原型；雏形；最初形态|We plan to release a prototype this autumn for trial in hospitals.
input|"【vt.】 (input, input; inputted, inputted) put information into a computer （向计算机）输入"|All call center staff do is input data into computers and so it makes every sense that you do it yourself to cut cost.
smartphone|【n.】 [C] 智能手机|
existing|【a.】 (only before noun) found or used now 目前的；现存的|"Under existing regulations, you are not allowed to bring animals into the country."
web-based|【a.】 relating to or done using the Web (the system of connected documents on the Internet) 基于网络的|"With the new web-based software, creating a purchase order should take just a few minutes."
code|"【n.】 [C, U] a system of words, letters, numbers, or symbols that represent a message or record information secretly or in a shorter form 密码；暗码；电码；代码"|He received a message written in code yesterday and he didn't know what to do about it.
metropolitan|【a.】 (only before noun) connected with a large or capital city 大城市的；大都会的|This is an issue that should be decided by local and metropolitan governments.
real-time|"【a.】 (only before noun) of or being the very rapid use, handling, or showing of information by a computer 即时处理的；实时的"|We are designing a secure and real-time voice transmission system.
avenue|【n.】 [C] used in the names of streets in a town or city 街；大街|"When we visited New York, we stayed in a hotel on Fifth Avenue."
effective|"【a.】 successful, and working in the way that was intended 有效的；产生预期效果的"|The cheaper drugs are just as effective in treating this disease.
underestimate|"【v.】 think or guess that sth. is smaller, cheaper, easier, etc. than it really is 低估；（对···）估计不足；看轻"|None of us should ever underestimate the degree of difficulty women face in career advancement.
epiphany|【n.】 [C] a moment when you suddenly realize or understand sth. important 顿悟的时刻|People are all familiar with the story of Issac Newton's epiphany about gravity (地球引力) and a falling apple.
aging|【a.】 (only before noun) becoming old; rather old 变老的；陈旧的|We need to replace some of the aging office equipment.
shelter|【n.】 1) [C] a building or an area with a roof over it that protects you from the weather or from danger 躲避风雨的地方；避难处|They built a rough shelter from old pieces of wood.
shelter|"【n.】 2) [U] a place to live, considered as one of the basic needs of life 栖身之地；住处"|They were in need of food and shelter after the earthquake.
bus shelter|n.】 [C] (BrE) a small structure with a roof where you wait for a bus 公共汽车候车亭|
solar-powered|【a.】 powered by energy from sunlight 太阳能驱动的|The company is developing a fully solar-powered car.
civic|【a.】 (only before noun) relating to a town or city 城镇的；城市的|The president's visit was the most important civic event of the year.
temper|【vt.】 (fml.) make sth. less severe or extreme 使缓和；使温和；冲淡|The heat in this coastal town is tempered by the cool sea breeze (微风).
install|【vt.】 put a piece of equipment somewhere and connect it so that it is ready to be used 安装，设置（设备）|"It would cost about £3,000 to install a new heating system in a flat such as theirs."
commute|"【n.】 [C, usu. sing.] the journey to work every day 上下班路程"|I want to rent an apartment near my office because my daily commute takes too long.
mayor|"【n.】 [C] the head of the government of a town or city, etc., elected by the public （民选的）市长，镇长"|The crowd gathered in the town square to hear the mayor speak.
uncertain|【a.】 (not before noun) feeling doubt about sth. 不确定的；没把握的；拿不准的|It's still uncertain whether the College Spring Sports will be held this year.
upbeat|【a.】 positive and making you feel that good things will happen 乐观的；积极向上的|New research shows that all it may take to avoid this common disease is a positive and upbeat attitude.
en route|【ad.】 on the way 在路上；在途中|We stopped for a picnic en route.
crane|【n.】 [C] 吊车；起重机|
deed|"【n.】 [C] (fml.) sth. sb. does, esp. sth. that is very good or very bad（尤指很好或很坏的）行为，行动"|His heroic deeds were celebrated in every corner of the city.
spark|"【vt.】 cause sth. to start or develop, esp. suddenly 引发；触发"|Will the rapid rise in oil prices spark another crisis?
join in| take part in an activity with other people 加入，参加（活动）|Now and again he'd join in when we were playing video games.
in other words| used to introduce an explanation of sth. 换言之；换句话说；也就是说|"In other words, we have to build different ways of working."
one after another| used to talk about a series of similar things or events that are done or happening with very little time between them 一个接一个|"One after another, people described how hard it was for them to get medical care."
stay put| stay in the original place 留在原地|Nigel says for the moment he is very happy to stay put in London.
weigh up| consider sth. carefully so that you can make a decision about it 权衡；仔细考虑|You have to weigh up in your mind whether to pursue your goal or not.
later on| at a time in the future 过后；后来|I hate to rush you but I have another appointment later on.
go from bad to worse|" become even more unpleasant, difficult, etc. 每况愈下；越来越糟"|For the past couple of years my health has gone from bad to worse.
"make a, no, some, etc. difference"| have an effect  sth. 有（或没有、有些等）作用，关系，影响|The new central heating has made an enormous difference to the house.
up and running| operating normally 正常运转|We're trying to get the medical facilities up and running again.
call in| telephone a radio or television program with a comment or question 打电话到（电台、电视台）|"It's a hot topic, and people have been calling in all morning."
check out|" make sure that sth. is actually true, correct, or acceptable 核实；查证；调查"|Maybe we ought to go down to the library and check it out.
tear down|" pull or knock down a building, wall, etc. 拆毁，拆除（建筑物、墙等）"|The city government has decided to tear down several buildings and create a park.
sb. can't help (doing) sth.|" (also 'sb. can't help but do sth.') used to say that sb. is unable to change their behavior, or feelings, or to prevent themselves from doing sth. 某人忍不住做某事；某人不能停止做某事"|"In fact, I can't help wondering what someone with your experience is doing in a place like this."
write off|" decide that sb. 某事无用（不重要，失败）"|It's too soon to write off the project as a failure.
pull over|" drive to the side of the road and stop your car, bike, etc. or make sb. else do this （使）车辆停靠在路边"|The police signaled to him to pull over and gave him a drunk driving test.
||
||
||
||
||
